Model,RMSE_Val,MAE_Val,R2_Val,RMSE_Test,MAE_Test,R2_Test
Random Forest,0.5255903081280182,0.30884562740382615,0.8616548363622785,0.5390190603075428,0.3055450095937963,0.8605095317034857
Gradient Boosting,0.5369991014208987,0.32192085750552757,0.8555836372042829,0.5476629852474943,0.31553956285469537,0.8559998097563335
Linear Regression,0.5821868093896685,0.35555160533371544,0.8302561658646537,0.6125681327822133,0.3657009088640064,0.8198455113817437
Ridge,0.582229272303899,0.355614140480831,0.8302314037758814,0.6126237343444224,0.3658067366250104,0.8198128053852167
Lasso,0.5859761317442986,0.3607885641319409,0.8280393263126167,0.6168135394622142,0.3719791964542834,0.8173397349487481
